data_file,adapter_dir,base_model,total,parsed,parse_ratio,acc,precision,recall,f1,auc,tp,fp,tn,fn,label_pos_rate,pred_pos_rate
project2/LLM/homework2upload/llm_data_no_encoder/test_data.jsonl,project2/LLM/homework2upload/llm_data_no_encoder/ecg_llm_lora_finetuned_Qwen__Qwen2.5-7B,Qwen/Qwen2.5-7B,3294,3010,0.9137826350941105,0.879734219269103,0.1015625,0.05,0.06701030927835053,0.5040909090909091,13,115,2635,247,0.08637873754152824,0.0425249169435216







[Progress] 1400/3294 | 可解析 1286 (91.86%) | acc 0.8818 | precision 0.1636 | recall 0.0783 | f1 0.1059 | auc 0.5195 | pos(y/p) 0.089/0.043 | TP/FP/TN/FN 9/46/1125/106
[Progress] 1450/3294 | 可解析 1331 (91.79%) | acc 0.8775 | precision 0.1552 | recall 0.0732 | f1 0.0994 | auc 0.5163 | pos(y/p) 0.092/0.044 | TP/FP/TN/FN 9/49/1159/114
[Progress] 1500/3294 | 可解析 1378 (91.87%) | acc 0.8795 | precision 0.1525 | recall 0.0720 | f1 0.0978 | auc 0.5160 | pos(y/p) 0.091/0.043 | TP/FP/TN/FN 9/50/1203/116
[Progress] 1550/3294 | 可解析 1423 (91.81%) | acc 0.8805 | precision 0.1452 | recall 0.0714 | f1 0.0957 | auc 0.5153 | pos(y/p) 0.089/0.044 | TP/FP/TN/FN 9/53/1244/117
[Progress] 1600/3294 | 可解析 1466 (91.62%) | acc 0.8820 | precision 0.1429 | recall 0.0703 | f1 0.0942 | auc 0.5150 | pos(y/p) 0.087/0.043 | TP/FP/TN/FN 9/54/1284/119
[Progress] 1650/3294 | 可解析 1514 (91.76%) | acc 0.8824 | precision 0.1429 | recall 0.0677 | f1 0.0918 | auc 0.5143 | pos(y/p) 0.088/0.042 | TP/FP/TN/FN 9/54/1327/124
[Progress] 1700/3294 | 可解析 1559 (91.71%) | acc 0.8826 | precision 0.1385 | recall 0.0662 | f1 0.0896 | auc 0.5134 | pos(y/p) 0.087/0.042 | TP/FP/TN/FN 9/56/1367/127
[Progress] 1750/3294 | 可解析 1605 (91.71%) | acc 0.8835 | precision 0.1385 | recall 0.0643 | f1 0.0878 | auc 0.5130 | pos(y/p) 0.087/0.040 | TP/FP/TN/FN 9/56/1409/131
[Progress] 1800/3294 | 可解析 1652 (91.78%) | acc 0.8856 | precision 0.1385 | recall 0.0634 | f1 0.0870 | auc 0.5131 | pos(y/p) 0.086/0.039 | TP/FP/TN/FN 9/56/1454/133
[Progress] 1850/3294 | 可解析 1699 (91.84%) | acc 0.8840 | precision 0.1449 | recall 0.0676 | f1 0.0922 | auc 0.5148 | pos(y/p) 0.087/0.041 | TP/FP/TN/FN 10/59/1492/138
[Progress] 1900/3294 | 可解析 1745 (91.84%) | acc 0.8819 | precision 0.1370 | recall 0.0654 | f1 0.0885 | auc 0.5129 | pos(y/p) 0.088/0.042 | TP/FP/TN/FN 10/63/1529/143
[Progress] 1950/3294 | 可解析 1788 (91.69%) | acc 0.8831 | precision 0.1370 | recall 0.0641 | f1 0.0873 | auc 0.5127 | pos(y/p) 0.087/0.041 | TP/FP/TN/FN 10/63/1569/146
[Progress] 2000/3294 | 可解析 1832 (91.60%) | acc 0.8816 | precision 0.1351 | recall 0.0613 | f1 0.0844 | auc 0.5115 | pos(y/p) 0.089/0.040 | TP/FP/TN/FN 10/64/1605/153
[Progress] 2050/3294 | 可解析 1876 (91.51%) | acc 0.8822 | precision 0.1351 | recall 0.0599 | f1 0.0830 | auc 0.5112 | pos(y/p) 0.089/0.039 | TP/FP/TN/FN 10/64/1645/157
[Progress] 2100/3294 | 可解析 1926 (91.71%) | acc 0.8821 | precision 0.1316 | recall 0.0585 | f1 0.0810 | auc 0.5104 | pos(y/p) 0.089/0.039 | TP/FP/TN/FN 10/66/1689/161
[Progress] 2150/3294 | 可解析 1975 (91.86%) | acc 0.8835 | precision 0.1299 | recall 0.0578 | f1 0.0800 | auc 0.5103 | pos(y/p) 0.088/0.039 | TP/FP/TN/FN 10/67/1735/163
[Progress] 2200/3294 | 可解析 2017 (91.68%) | acc 0.8845 | precision 0.1282 | recall 0.0571 | f1 0.0791 | auc 0.5101 | pos(y/p) 0.087/0.039 | TP/FP/TN/FN 10/68/1774/165
[Progress] 2250/3294 | 可解析 2062 (91.64%) | acc 0.8841 | precision 0.1250 | recall 0.0559 | f1 0.0772 | auc 0.5093 | pos(y/p) 0.087/0.039 | TP/FP/TN/FN 10/70/1813/169
[Progress] 2300/3294 | 可解析 2108 (91.65%) | acc 0.8843 | precision 0.1235 | recall 0.0546 | f1 0.0758 | auc 0.5089 | pos(y/p) 0.087/0.038 | TP/FP/TN/FN 10/71/1854/173
[Progress] 2350/3294 | 可解析 2152 (91.57%) | acc 0.8824 | precision 0.1163 | recall 0.0535 | f1 0.0733 | auc 0.5074 | pos(y/p) 0.087/0.040 | TP/FP/TN/FN 10/76/1889/177
[Progress] 2400/3294 | 可解析 2200 (91.67%) | acc 0.8786 | precision 0.1042 | recall 0.0524 | f1 0.0697 | auc 0.5048 | pos(y/p) 0.087/0.044 | TP/FP/TN/FN 10/86/1923/181
[Progress] 2450/3294 | 可解析 2243 (91.55%) | acc 0.8801 | precision 0.1020 | recall 0.0524 | f1 0.0692 | auc 0.5047 | pos(y/p) 0.085/0.044 | TP/FP/TN/FN 10/88/1964/181
[Progress] 2500/3294 | 可解析 2290 (91.60%) | acc 0.8786 | precision 0.0990 | recall 0.0508 | f1 0.0671 | auc 0.5036 | pos(y/p) 0.086/0.044 | TP/FP/TN/FN 10/91/2002/187
[Progress] 2550/3294 | 可解析 2337 (91.65%) | acc 0.8793 | precision 0.0980 | recall 0.0500 | f1 0.0662 | auc 0.5035 | pos(y/p) 0.086/0.044 | TP/FP/TN/FN 10/92/2045/190
[Progress] 2600/3294 | 可解析 2383 (91.65%) | acc 0.8775 | precision 0.0962 | recall 0.0481 | f1 0.0641 | auc 0.5024 | pos(y/p) 0.087/0.044 | TP/FP/TN/FN 10/94/2081/198
[Progress] 2650/3294 | 可解析 2428 (91.62%) | acc 0.8773 | precision 0.0952 | recall 0.0469 | f1 0.0629 | auc 0.5020 | pos(y/p) 0.088/0.043 | TP/FP/TN/FN 10/95/2120/203
[Progress] 2700/3294 | 可解析 2474 (91.63%) | acc 0.8771 | precision 0.1028 | recall 0.0502 | f1 0.0675 | auc 0.5038 | pos(y/p) 0.089/0.043 | TP/FP/TN/FN 11/96/2159/208
[Progress] 2750/3294 | 可解析 2516 (91.49%) | acc 0.8772 | precision 0.1101 | recall 0.0536 | f1 0.0721 | auc 0.5056 | pos(y/p) 0.089/0.043 | TP/FP/TN/FN 12/97/2195/212
[Progress] 2800/3294 | 可解析 2562 (91.50%) | acc 0.8786 | precision 0.1101 | recall 0.0531 | f1 0.0716 | auc 0.5058 | pos(y/p) 0.088/0.043 | TP/FP/TN/FN 12/97/2239/214
[Progress] 2850/3294 | 可解析 2609 (91.54%) | acc 0.8777 | precision 0.1062 | recall 0.0522 | f1 0.0700 | auc 0.5049 | pos(y/p) 0.088/0.043 | TP/FP/TN/FN 12/101/2278/218
[Progress] 2900/3294 | 可解析 2652 (91.45%) | acc 0.8771 | precision 0.1043 | recall 0.0511 | f1 0.0686 | auc 0.5042 | pos(y/p) 0.089/0.043 | TP/FP/TN/FN 12/103/2314/223
[Progress] 2950/3294 | 可解析 2697 (91.42%) | acc 0.8773 | precision 0.1017 | recall 0.0506 | f1 0.0676 | auc 0.5038 | pos(y/p) 0.088/0.044 | TP/FP/TN/FN 12/106/2354/225
[Progress] 3000/3294 | 可解析 2746 (91.53%) | acc 0.8765 | precision 0.1066 | recall 0.0535 | f1 0.0712 | auc 0.5050 | pos(y/p) 0.088/0.044 | TP/FP/TN/FN 13/109/2394/230
[Progress] 3050/3294 | 可解析 2791 (91.51%) | acc 0.8785 | precision 0.1066 | recall 0.0535 | f1 0.0712 | auc 0.5054 | pos(y/p) 0.087/0.044 | TP/FP/TN/FN 13/109/2439/230
[Progress] 3100/3294 | 可解析 2837 (91.52%) | acc 0.8780 | precision 0.1048 | recall 0.0524 | f1 0.0699 | auc 0.5048 | pos(y/p) 0.087/0.044 | TP/FP/TN/FN 13/111/2478/235
[Progress] 3150/3294 | 可解析 2881 (91.46%) | acc 0.8785 | precision 0.1032 | recall 0.0520 | f1 0.0691 | auc 0.5045 | pos(y/p) 0.087/0.044 | TP/FP/TN/FN 13/113/2518/237
[Progress] 3200/3294 | 可解析 2928 (91.50%) | acc 0.8788 | precision 0.1032 | recall 0.0510 | f1 0.0682 | auc 0.5044 | pos(y/p) 0.087/0.043 | TP/FP/TN/FN 13/113/2560/242
[Progress] 3250/3294 | 可解析 2972 (91.45%) | acc 0.8789 | precision 0.1024 | recall 0.0502 | f1 0.0674 | auc 0.5041 | pos(y/p) 0.087/0.043 | TP/FP/TN/FN 13/114/2599/246
==================================================
[Result] 总样本: 3294
[Result] 可解析: 3010 (占 91.38%)
[Result] 准确率: 0.8797
[Result] 精确率: 0.1016
[Result] 召回率: 0.0500
[Result] F1: 0.0670
[Result] AUC: 0.5041
[Result] 正类比例(y): 0.0864 | 预测正类比例(p): 0.0425
[Result] TP/FP/TN/FN: 13/115/2635/247
==================================================
